properties__number,properties__name,properties__address,properties__lat,properties__lng,properties__availability,properties__code_insee,properties__bike_stands
10086,Anatole France,Rue Anatole France,45.76982949,4.88963135,Bleu,69266,10
10117,La Perralière,171 rue Léon Blum,45.76456367,4.892333607,Vert,69266,22
9041,Carret / Sédaillan,"30, Quai Paul Sédaillan",45.79247774,4.820578258,Vert,69389,18
9043,Marietton Ouest,"Face 77b, Rue Marietton",45.77608504,4.799737661,Vert,69389,20
10087,Baratin,"76, Rue Pierre Baratin",45.76060376,4.900696968,Vert,69266,12
4026,Birmingham,Avenue de Birmingham,45.77463111,4.813416257,Vert,69384,20
10041,Kimmerling,"41, Route de Genas",45.7529724,4.898865663,Orange,69266,16
2020,Musée des Confluences,Pont Raymond Barre,45.73330834,4.818920314,Vert,69382,20
2040,Saint Antoine / Grenette,"12, quai St Antoine",45.76342254,4.832100854,,69382,20
2023,,"1, quai Perrache",45.74451405,4.826775186,,69382,18
10043,Salengro / Feyssine,"Face 44, Rue de la Feyssine",45.78298359,4.890634596,Vert,69266,20
7018,Lycée Louise Labé,"1, Rue Rivet",45.74028065,4.83205937,Vert,69387,20
2015,République / Stella,"1, Rue Stella",45.76070979,4.836288973,Vert,69382,27
10056,11 novembre / Gaston Berger,Avenue du 11 novembre 1918,45.77906399,4.871496463,Vert,69266,35
3024,Rockfeller / Esquirol,"35, Avenue Rockefeller",45.74133372,4.885540824,Vert,69383,19
4001,Conservatoire bis,"1, Quai Joseph Gillet",45.77038943,4.814245667,Vert,69381,22
8011,Place Lebret,Place Lebret,45.73565039,4.853042654,Vert,69388,14
1006,Subsistances,14 quai Saint Vincent,45.76789577,4.819816657,Vert,69381,22
3091,Hôpital Neurologique,"59, Boulevard Pinel",45.74818329,4.896957058,Orange,69383,20
1024,Rouville,Place Rouville,45.76966444,4.824612349,Vert,69381,17
4008,Clos Savaron,"10, Rue Clos Savaron",45.78263626,4.825559185,Vert,69384,20
10038,Condorcet,Boulevard du 11 Novembre 1918,45.77904577,4.866778328,Vert,69266,23
10060,Saint Exupéry,"33, Avenue Antoine de Saint Exupéry",45.75885897,4.878749576,Vert,69266,15
7031,Jaurès / Gerland,"45, Rue de Gerland",45.73981323,4.840307389,Vert,69387,20
9050,Allée de l'Europe,"228, Avenue du Plateau",45.78363717,4.794525308,Orange,69389,12
4011,Place Joannès Ambre,Place Joannès Ambre,45.78157552,4.832857722,Orange,69384,20
10101,Einstein / 11 novembre 1918,Bd 11 nov 1918,45.77942149,4.8740758,Vert,69266,34
11001,Caluire - Gare de Cuire,"2, Rue Claude Baudrand",45.78577553,4.833713422,Vert,69034,18
7022,Jaurès / Lagrange,"105, Avenue Jean Jaurès",45.74391433,4.841424445,Vert,69387,30
3102,Docteur Long / Aubépins,"2, Rue de la Caille",45.75253943,4.894267472,Vert,69383,16
5054,Champvert,"192, Avenue Barthélémy Buyer",45.76389777,4.792714308,Vert,69385,18
6003,Avenue Verguin,"Face 14, Avenue Verguin",45.7729114,4.856326781,Orange,69386,20
7015,Techsud,"Face 2, Rue Professeur Jean Bernard",45.7228,4.842706,Orange,69387,12
8024,Mermoz / Michelet,"66, Avenue Jean Mermoz",45.73327178,4.878600857,Vert,69388,12
24001,Ecully - Mairie,Place de la Libération,45.77508907,4.778672916,Vert,69081,12
12005,Place Boissier,"7, Place Boissier",45.78627766,4.92688556,,69256,20
6033,Créqui / Lafayette,"153, Rue de Créqui",45.76379601,4.847062,Orange,69386,15
10012,Zola / France,"230, Cours emile Zola",45.76807042,4.88712372,Vert,69266,16
10123,Saint Jean / Epi de Blé,"19, Rue Saint Jean",45.77664227,4.902361071,Orange,69266,12
2003,Place Ampère,"18, Rue Bourgelat",45.75304453,4.82824554,Vert,69382,10
10028,Ecole de musique,"49, Cours de la République",45.7675343,4.87396621,Vert,69266,24
