properties__number,properties__name,properties__address,properties__lat,properties__lng,properties__availability,properties__code_insee,properties__bike_stands
12004,Vaulx - Hôtel de ville,Rue Maurice Audin,45.77817182,4.920516711,Vert,69256,30
5015,Fulchiron,"4, Quai Fulchiron",45.75200118,4.821661798,Vert,69385,19
3089,Trarieux / Lacassagne,"221, Avenue Lacassagne",45.74530081,4.889042036,Vert,69383,24
5055,Buyer / Apollinaire,"103, Avenue Barthélémy Buyer",45.76201329,4.80275989,Vert,69385,22
10048,Place Marengo,"54, Avenue Marc Sangnier",45.75914352,4.875993556,Vert,69266,27
10027,Mairie de Villeurbanne,"3, Avenue Aristide Briand",45.76683061,4.879893867,Vert,69266,26
1012,Ampère / Bourse,"29, Rue de la Bourse",45.76581138,4.836895741,Vert,69381,26
10036,Stalingrad,"123, Boulevard Stalingrad",45.77435683,4.859154586,Vert,69266,21
2018,Hôtel Dieu / Pont de la Guillotière,"Face 26, Quai Jules courmont",45.75741753,4.837062372,Vert,69382,50
7064,CROUS,"96, Rue Chevreul",45.74543052,4.847780277,Vert,69387,17
5001,Place Varillon (funiculaire St-Just),"63, Rue de Trion",45.75730032,4.815090011,Vert,69385,23
3018,Créqui / Voltaire,Rue de Créqui,45.75669834,4.848403486,Bleu,69383,30
10111,Charles Hernu,"110, Cours Vitton",45.77031053,4.862002499,Vert,69386,20
2013,Célestins,"Face 2, Place des Célestins",45.75993983,4.832071611,Vert,69382,22
10119,Villeurbanne Saint-Jean,"2, Rue des Acacias",45.78044582,4.904488846,Vert,69266,12
7053,Jaurès / Thibaudière,"Face 27, Rue de la Thibaudière",45.7503448,4.845048253,Vert,69387,28
6035,Cité Internationale,Quai Charles de Gaulle,45.78542142,4.854124073,Vert,69386,21
2021,Bayard / Rambaud,"15, Quai Rambaud",45.74591658,4.817173609,Vert,69382,30
4023,Pont Masaryk,"Face 45, Quai Joseph Gillet",45.77827801,4.810631758,Vert,69384,22
10091,Château Gaillard / Fort,"28, Rue Louis Fort",45.77474954,4.887971317,Vert,69266,16
9044,Masset / Saint-Pierre de Vaise,"86, Rue Saint Pierre de Vaise",45.77047692,4.800900483,Vert,69389,16
28001,Fontaines S/S - Quai JB Simon,Quai Jean Baptiste Simon,45.83246572,4.848779233,Vert,69088,20
2037,Place des Archives,"18, Rue Dugas Montbel",45.74796914,4.824861728,Vert,69382,40
10018,Tolstoï / Florian,"4, Rue Florian",45.76180519,4.880722405,Vert,69266,21
2004,Perrache / Carnot,Place Carnot,45.75009964,4.828051501,Vert,69382,18
10079,Anatole France / Barbusse,"103, Rue Anatole France",45.7681304,4.879161489,Vert,69266,20
14001,Bron - Centre Nautique,"22, Rue de la Marne",45.74292484,4.908621338,Bleu,69029,13
7009,Jean Jaurès,"175, Avenue Jean Jaurès",45.7375181,4.83750892,Vert,69387,16
7045,Parc des Berges,"Face 40, Avenue Leclerc",45.73774096,4.824487516,Vert,69387,25
8052,Clinique Montplaisir,"2, Avenue des Frères Lumière",45.74708261,4.860190852,Bleu,69388,16
6011,Mairie du 6e,"58, Rue de Sèze",45.76840417,4.849496724,Vert,69386,23
7061,Jaurès / Université,"53, Rue de l'Université",45.74853743,4.843249334,Vert,69387,20
10013,Cusset,"13, Rue Pierre Voyant",45.76504227,4.901132893,Vert,69266,20
2005,Confluence Hôtel de Région,"101, Cours Charlemagne",45.74053832,4.819179518,Orange,69382,32
8002,Place Ambroise Courtois,Place Ambroise Courtois,45.74529262,4.871678963,Vert,69388,20
10007,Piaton / Condorcet,Avenue Piaton,45.77421518,4.867504213,Vert,69266,20
9033,Gorge de Loup,49 bis Esplanade Lina Cretet,45.76736548,4.8056277,Vert,69389,40
8061,Stade Vuillermet,"186, Avenue Paul Santy",45.72540372,4.881294892,Vert,69388,18
1023,Croix Rousse / Perfetti,"Face 23, Boulevard de la Croix Rousse",45.77225384,4.819460862,Vert,69381,20
3101,Patinoire Baraban,"Face 52, Rue Baraban",45.76205167,4.868500351,Vert,69383,20
4021,Tabareau,Rue Tabareau,45.77408067,4.825159712,Vert,69384,10
3103,Place Danton,"4, Place Danton",45.75481245,4.857574373,Vert,69383,18
6031,Lafayette / Corneille,"64, Rue Pierre Corneille",45.76375948,4.843777341,Vert,69386,13
10053,Rossellini / 11 Novembre,"29, Boulevard du 11 Novembre 1918",45.77940831,4.862902169,Vert,69266,30
6039,Garibaldi / Vauban,"Face 99, Rue Bugeaud",45.76669219,4.852085981,Vert,69386,20
6021,Garibaldi,"46, Rue Garibaldi",45.77069748,4.849935729,Bleu,69386,11
2026,République / Paufique,"22, Rue Louis Paufique",45.75938096,4.835399202,Vert,69382,28
22001,Sainte Foy - Place Saint-Luc,Place Saint-Luc,45.74956541,4.800896024,Vert,69202,15
9003,Place Valmy,"1, Rue Roquette",45.775675,4.805303665,Vert,69389,16
5005,Saint-Paul,Place Saint-Paul,45.76627174,4.827432123,Vert,69385,23
4041,Boussange / Austerlitz,"17, rue d'Austerlitz",45.77550236,4.835062545,Vert,69384,18
6043,Cité Internationale - Cinéma,"80, Quai Charles de Gaulle",45.7847015,4.851908106,Vert,69386,32
3088,Place Guichard,"65, Rue Moncey",45.75881521,4.846453226,Vert,69383,16
5004,Saint-Jean,"2, Place Edouard Commette",45.76048374,4.82656505,Vert,69385,39
10118,Voyant / Chambord,"92, Rue Voyant",45.76715331,4.900599161,Vert,69266,22
8060,Santy / Beauvisage,"Face 9, Rue Pierre Verger",45.73168331,4.874127533,Vert,69388,17
1022,Place Tolozan,Place Tolozan,45.76960059,4.837608437,Vert,69381,36
10001,IUT - Feyssine,Rue de la Technologie,45.78563246,4.882410402,Vert,69266,30
8030,Laënnec,Rue Nungesser et Coli,45.74134872,4.879723164,Orange,69388,16
3100,Sisley /  Dauphiné,"4, Rue Professeur Paul Sisley",45.75282751,4.868768771,Vert,69383,17
2001,Bellecour / République,"4, Place Le Viste",45.7579851,4.834593822,Vert,69382,18
2028,Sainte-Blandine,"60, Cours Charlemagne",45.7444223,4.82214287,Vert,69382,16
2006,Place de l'Hippodrome,Place de l'Hippodrome,45.74558155,4.823532673,Vert,69382,24
3021,Place de la Ferrandière,"51, Avenue Georges Pompidou",45.7594734,4.869342897,Vert,69383,20
2041,Sala / Charité,"41, Rue Sala",45.75447328,4.833011085,Vert,69382,21
9040,Place de la Rhodiacéta,"53, Rue Chapeau Rouge",45.77099064,4.807580414,Vert,69389,12
6016,Viabert / Thiers,Rue de la Viabert,45.76598798,4.862092278,Vert,69386,16
6008,Place Jules Ferry,"17, Rue des Emeraudes",45.76841226,4.859070557,Vert,69386,20
2019,Sucrière,Place Chevalier de Saint-Georges,45.73618158,4.815335029,Vert,69382,20
17003,Saint Fons - Théatre,"59, Rue Carnot",45.7080856,4.861775604,Vert,69199,18
5007,Place de Trion,Place de Trion,45.75790631,4.813134953,Vert,69385,16
3015,Servient / Garibaldi,"Face 112, Rue Servient",45.76077741,4.852678991,Vert,69383,17
8037,Cazeneuve,"Face 42, Rue Paul Cazeneuve",45.73402009,4.862902379,Vert,69388,19
7034,Piscine du Rhône,"Face 8, Quai Claude Bernard",45.75361071,4.838220972,Vert,69387,31
10064,4 août 1789,"97, Rue du 4 août 1789",45.76479917,4.884270533,Vert,69266,15
8050,Bataille / Krüger,"Face au 140, Rue Bataille",45.73626799,4.879737377,Vert,69388,18
7010,Centre Berthelot,"105, Rue Pasteur",45.74735617,4.835999698,Vert,69387,19
30001,Rillieux - Canellas,18 route de Genève,45.80509134,4.884743873,Vert,69286,12
1021,Terreaux / Beaux Arts,"8, Rue du Président Edouard Herriot",45.767041,4.834283906,Vert,69381,11
2007,Patinoire Charlemagne,"100, Cours Charlemagne",45.7426115,4.82047167,Vert,69382,37
3044,Quai Augagneur,"Face 3, Quai Victor Augagneur",45.76196513,4.841053431,Vert,69383,19
33001,Albigny - Gare,Place de la Gare,45.87499349,4.833002136,Vert,69003,18
6004,Foch,"11, Cours Franklin Roosevelt",45.76885137,4.844764939,Vert,69386,20
8025,Dumont / Jouvet,"16, Rueue Santos Dumont",45.74444618,4.860887175,Vert,69388,17
3040,Faure / Danton,"87, Avenue Félix Faure",45.75351829,4.857737618,Vert,69383,35
10061,République,"105, cours Emile Zola",45.77078384,4.872959389,Vert,69266,17
5036,La Salette,"104, Rue Commandant Charcot",45.74961727,4.795531093,Vert,69385,15
8003,Claude Bernard Lyon I,"16, Rue Guillaume Paradin",45.73814006,4.886880309,Orange,69388,16
1032,Pizay,"Face 22, Rue Pizay",45.76720042,4.836391685,Vert,69381,22
4005,Place Bertone,Rue du Chariot d'Or,45.77761738,4.834500942,Orange,69384,12
17001,Saint Fons - Arsenal,"Face au 40, Avenue Jean Jaurès",45.7123448,4.855274123,Vert,69199,27
7052,Parc Blandan,"37, Rue du Repos (entrée parc Blandan)",45.74596373,4.851196108,Vert,69387,25
6036,Musée d'Art Contemporain,Allée Achille Lignon,45.78388161,4.852140403,Vert,69386,23
7005,Debourg,"259t, Avenue Jean Jaurès",45.73175355,4.833961794,Vert,69387,20
5030,Charcot / Résidence universitaire,"Face 30, Rue Cdt Charcot",45.75503109,4.807785054,Vert,69385,32
8039,Pierre Delore,"Face 2, Rue Pierre Delore",45.73863588,4.852400184,Vert,69388,20
7062,Garibaldi / Domer,"Face 327, Rue Garibaldi",45.74773274,4.85162737,Vert,69387,19
7026,Baldassini / Gerland,"25, Rue Jean Baldassini",45.72769678,4.83738209,Vert,69387,20
1005,Meissonier,Place Meissonier,45.76608507,4.832833583,Vert,69381,16
6040,Les Halles,"149, Rue Boileau",45.76405761,4.849930546,Vert,69386,15
2022,Place Carnot,Place Carnot,45.75122705,4.826890835,Vert,69382,30
12001,Vaulx - La Soie,Rue de la Poudrette,45.76081319,4.920603946,Vert,69256,25
7001,Place Gabriel Péri,"4, Place Gabriel Péri",45.75487902,4.843675082,Vert,69387,20
2002,Bellecour / Saint Exupéry,"Face 34, Place Bellecour",45.75815691,4.830434695,Vert,69382,40
3087,Part-Dieu / Garibaldi,"4, Boulevard Eugène Deruelle",45.76275116,4.852427772,Vert,69383,20
9004,Gare de Vaise,"Face 14, Rue du 24 Mars 1852",45.77978198,4.804665331,Vert,69389,22
5008,Sainte-Irénée,Place Sainte Irénée,45.75494588,4.812421225,Vert,69385,20
34002,Neuville - Stade,"Face au 27, Route de Lyon",45.87087625,4.839598537,Vert,69143,15
8004,Mairie du 8e,"Face 29, Avenue Jean Mermoz",45.735151,4.872817388,Vert,69388,21
2016,Place Regaud,Place Regaud,45.76307693,4.834286688,Vert,69382,12
3080,Part-Dieu / Villette,Rue de la Villette,45.76005506,4.861673881,Orange,69383,30
5029,Place Gerson,Place Gerson,45.76705446,4.827047507,Bleu,69385,20
14005,Bron - Université,"5, Avenue Pierre Mendès France",45.72266073,4.9152085,Vert,69029,30
27001,Collonges - Gare,"2, Quai de la Libération",45.83086633,4.846978507,Vert,69063,24
7051,Guillotière / Veyron,"214, Grande Rue de la Guillotière",45.747805,4.856454001,,69387,0
32001,Couzon - Centre,Quai Jean Lavergne,45.84599769,4.832412134,Vert,69068,17
7004,Mairie du 7e,Place Jean Macé,45.74656017,4.842341258,Vert,69387,30
2039,Charité / Récamier,"86, Rue de la Charité",45.7492534,4.829844126,Vert,69382,17
7019,Croix Barret / Artillerie,"5, Rue Croix-Barret",45.73679081,4.841152089,Vert,69387,32
20002,Oullins - Mairie,"4, Rue Etienne Dolet",45.71400142,4.806544334,Vert,69149,18
10046,Charmettes / Zola,"25, Rue des Charmettes",45.77074107,4.867333829,Vert,69266,23
16003,Vénissieux - Joliot Curie / Sembat,Boulevard Irène Joliot Curie,45.71545295,4.878235061,Vert,69259,25
10122,Verdun / Desgrand,"13, Rue de Verdun",45.78405134,4.897085924,Vert,69266,21
14004,Bron - Mairie,"5, Rue de Verdun",45.73394553,4.908720682,Vert,69029,23
10015,Poudrette / Musset,"112, Rue de la Poudrette",45.75788295,4.921141712,Vert,69266,18
9015,Saint-Cyr,"51t, Rue de Saint-Cyr",45.78282823,4.807296359,Vert,69389,30
34001,Neuville - Quai Pasteur,"5, Quai Pasteur",45.87660899,4.838623726,Vert,69143,20
3079,Place Louise,"4, Place Louise",45.75120525,4.884820464,Vert,69383,16
28002,Fontaines S/S - Gambetta,Place des Rendez vous,45.835406,4.8457,Vert,69088,20
7025,Lacour / Artillerie,Rue Challemel Larcour,45.72945513,4.844177872,Vert,69387,20
5031,Ménival / Joliot Curie,Rue Joliot Curie,45.75464051,4.788148884,Vert,69385,20
7030,Quartier Général Frère,"31, Boulevard Yves Farge",45.74316454,4.834168875,Vert,69387,30
9009,Berlioz / Chalinel,"Face 31, Rue Albert Chalinel",45.80111981,4.825272562,Vert,69389,15
10124,Salengro / Courteline,"67, Avenue roger Salengro",45.7768977,4.87645879,Vert,69266,24
8057,Vienne / Montagny,184 route de Vienne,45.73248198,4.853409975,Vert,69388,20
6007,Masséna,"47, Rue Tête d'Or",45.76966013,4.852372783,Vert,69386,27
2010,Confluence / Darse,"2, Allée Andrée Mure",45.74341409,4.815854361,Vert,69382,22
5045,Valdo / Rivet,Rue Jeunet,45.75048148,4.788774121,Vert,69385,18
10083,Château Gaillard / Bienvenus,"Face 31, Rue des Bienvenus",45.77786492,4.884244286,Vert,69266,15
10071,Lycée Marie Curie,"33, Boulevard Eugène Réguillon",45.76152797,4.89569022,Vert,69266,15
3038,Vivier Merle / Paul Bert Est,"65, Boulevard Vivier Merle",45.75723142,4.858908367,Vert,69383,20
3070,Rebatel / Saint-Maximin,"62, Rue St Maximin",45.74781943,4.872269871,Orange,69383,30
