comune,comuneLabel,cordinate,comuneLabelCapital
http://www.wikidata.org/entity/Q20438,Sennecey-lès-Dijon,Point(5.105277777 47.290555555),SENNECEY-LèS-DIJON
http://www.wikidata.org/entity/Q20440,Remilly-sur-Tille,Point(5.208055555 47.317777777),REMILLY-SUR-TILLE
http://www.wikidata.org/entity/Q20441,Quetigny,Point(5.106111111 47.314444444),QUETIGNY
http://www.wikidata.org/entity/Q20442,Crimolois,Point(5.120833333 47.274166666),CRIMOLOIS
http://www.wikidata.org/entity/Q20443,Couternon,Point(5.15 47.333888888),COUTERNON
http://www.wikidata.org/entity/Q20444,Chevigny-Saint-Sauveur,Point(5.135555555 47.301666666),CHEVIGNY-SAINT-SAUVEUR
http://www.wikidata.org/entity/Q20445,Bressey-sur-Tille,Point(5.183055555 47.308333333),BRESSEY-SUR-TILLE
http://www.wikidata.org/entity/Q20446,Arc-sur-Tille,Point(5.191666666 47.343055555),ARC-SUR-TILLE
http://www.wikidata.org/entity/Q20892,Le Mont-Saint-Michel,Point(-1.510277777 48.635833333),LE MONT-SAINT-MICHEL
http://www.wikidata.org/entity/Q21210,Bassemberg,Point(7.283333333 48.334722222),BASSEMBERG
http://www.wikidata.org/entity/Q21211,Beinheim,Point(8.083888888 48.863055555),BEINHEIM
http://www.wikidata.org/entity/Q21212,Colroy-la-Roche,Point(7.181944444 48.390277777),COLROY-LA-ROCHE
http://www.wikidata.org/entity/Q21213,Bitschhoffen,Point(7.62 48.859166666),BITSCHHOFFEN
http://www.wikidata.org/entity/Q21214,Bischholtz,Point(7.540277777 48.892777777),BISCHHOLTZ
http://www.wikidata.org/entity/Q21215,Bissert,Point(7.023611111 48.941944444),BISSERT
http://www.wikidata.org/entity/Q21216,Crastatt,Point(7.427222222 48.658888888),CRASTATT
http://www.wikidata.org/entity/Q21217,Dahlenheim,Point(7.507222222 48.585555555),DAHLENHEIM
http://www.wikidata.org/entity/Q21218,Climbach,Point(7.850555555 49.017777777),CLIMBACH
http://www.wikidata.org/entity/Q21219,Asswiller,Point(7.22 48.881111111),ASSWILLER
http://www.wikidata.org/entity/Q21220,Blaesheim,Point(7.609166666 48.505833333),BLAESHEIM
http://www.wikidata.org/entity/Q21221,Birkenwald,Point(7.344444444 48.658888888),BIRKENWALD
http://www.wikidata.org/entity/Q21222,Artolsheim,Point(7.573055555 48.208611111),ARTOLSHEIM
http://www.wikidata.org/entity/Q21223,Burbach,Point(7.111944444 48.901111111),BURBACH
http://www.wikidata.org/entity/Q21224,Aschbach,Point(7.983333333 48.934444444),ASCHBACH
http://www.wikidata.org/entity/Q21225,Allenwiller,Point(7.375555555 48.655),ALLENWILLER
http://www.wikidata.org/entity/Q21226,Daubensand,Point(7.721666666 48.347222222),DAUBENSAND
http://www.wikidata.org/entity/Q8358,Oullins,Point(4.8075 45.714166666),OULLINS
http://www.wikidata.org/entity/Q8365,Dardilly,Point(4.753055555 45.805555555),DARDILLY
http://www.wikidata.org/entity/Q8657,Saint-Jean-Pla-de-Corts,Point(2.792222222 42.511111111),SAINT-JEAN-PLA-DE-CORTS
http://www.wikidata.org/entity/Q8672,Le Boulou,Point(2.83 42.523888888),LE BOULOU
http://www.wikidata.org/entity/Q8848,Valence,Point(4.890833333 44.9325),VALENCE
http://www.wikidata.org/entity/Q8862,Montbolo,Point(2.655277777 42.484722222),MONTBOLO
http://www.wikidata.org/entity/Q8895,Laroque-des-Albères,Point(2.931944444 42.523055555),LAROQUE-DES-ALBèRES
http://www.wikidata.org/entity/Q8970,Cabestany,Point(2.942777777 42.680555555),CABESTANY
http://www.wikidata.org/entity/Q8997,Montesquieu-des-Albères,Point(2.881666666 42.517222222),MONTESQUIEU-DES-ALBèRES
http://www.wikidata.org/entity/Q9155,Lagny-sur-Marne,Point(2.706666666 48.878055555),LAGNY-SUR-MARNE
http://www.wikidata.org/entity/Q10235,Beynost,Point(5.001388888 45.840277777),BEYNOST
http://www.wikidata.org/entity/Q10290,Ambutrix,Point(5.338055555 45.939166666),AMBUTRIX
http://www.wikidata.org/entity/Q11131,Hazebrouck,Point(2.538333333 50.724444444),HAZEBROUCK
http://www.wikidata.org/entity/Q11154,Terdeghem,Point(2.54 50.798611111),TERDEGHEM
http://www.wikidata.org/entity/Q11160,Cassel,Point(2.487222222 50.8),CASSEL
http://www.wikidata.org/entity/Q11174,Winnezeele,Point(2.550833333 50.840833333),WINNEZEELE
http://www.wikidata.org/entity/Q11981,Saint-Maurice-de-Beynost,Point(4.975277777 45.830277777),SAINT-MAURICE-DE-BEYNOST
http://www.wikidata.org/entity/Q12169,Ploudalmézeau,Point(-4.6575 48.540277777),PLOUDALMéZEAU
http://www.wikidata.org/entity/Q12191,Nantes,Point(-1.553888888 47.217222222),NANTES
http://www.wikidata.org/entity/Q12193,Brest,Point(-4.486944444 48.39),BREST
http://www.wikidata.org/entity/Q12423,Torcy,Point(2.650833333 48.850277777),TORCY
http://www.wikidata.org/entity/Q13325,Rablay-sur-Layon,Point(-0.576388888 47.295),RABLAY-SUR-LAYON
